local,planta,cantidad
"Local 1","Planta A",20991.00
"Local 1","Planta B",21470.00
"Local 1","Planta C",14120.00
"Local 1","Planta D",29400.00
"Local 1","Planta E",28890.00
"Local 10","Planta A",27390.00
"Local 10","Planta B",28970.00
"Local 10","Planta C",23910.00
"Local 10","Planta D",24470.00
"Local 10","Planta E",15720.00
"Local 11","Planta A",25690.00
"Local 11","Planta B",20560.00
"Local 11","Planta C",11070.00
"Local 11","Planta D",12310.00
"Local 11","Planta E",27400.00
"Local 12","Planta A",20890.00
"Local 12","Planta B",20060.00
"Local 12","Planta C",20920.00
"Local 12","Planta D",19970.00
"Local 12","Planta E",20040.00
"Local 13","Planta A",28140.00
"Local 13","Planta B",15410.00
"Local 13","Planta C",17330.00
"Local 13","Planta D",21130.00
"Local 13","Planta E",20130.00
"Local 14","Planta A",18210.00
"Local 14","Planta B",19900.00
"Local 14","Planta C",6600.00
"Local 14","Planta D",38570.00
"Local 14","Planta E",15360.00
"Local 15","Planta A",15040.00
"Local 15","Planta B",23530.00
"Local 15","Planta C",15020.00
"Local 15","Planta D",24700.00
"Local 15","Planta E",6540.00
"Local 2","Planta A",21268.00
"Local 2","Planta B",17280.00
"Local 2","Planta C",11870.00
"Local 2","Planta D",27210.00
"Local 2","Planta E",26560.00
"Local 3","Planta A",23180.00
"Local 3","Planta B",19090.00
"Local 3","Planta C",13980.00
"Local 3","Planta D",28510.00
"Local 3","Planta E",23060.00
"Local 4","Planta A",23080.00
"Local 4","Planta B",18160.00
"Local 4","Planta C",23520.00
"Local 4","Planta D",10690.00
"Local 4","Planta E",16840.00
"Local 5","Planta A",17490.00
"Local 5","Planta B",21190.00
"Local 5","Planta C",28750.00
"Local 5","Planta D",13120.00
"Local 5","Planta E",17150.00
"Local 6","Planta A",10410.00
"Local 6","Planta B",18760.00
"Local 6","Planta C",11270.00
"Local 6","Planta D",21600.00
"Local 6","Planta E",21790.00
"Local 7","Planta A",30270.00
"Local 7","Planta B",19720.00
"Local 7","Planta C",29580.00
"Local 7","Planta D",30760.00
"Local 7","Planta E",22450.00
"Local 8","Planta A",11710.00
"Local 8","Planta B",24890.00
"Local 8","Planta C",25340.00
"Local 8","Planta D",20140.00
"Local 8","Planta E",12380.00
"Local 9","Planta A",18520.00
"Local 9","Planta B",15850.00
"Local 9","Planta C",11020.00
"Local 9","Planta D",30130.00
"Local 9","Planta E",26910.00
