recolector, productor, cantidad
"Clean Earth","Acer",63420.00
"Clean Earth","Amazon",43890.00
"Clean Earth","Burger King",39970.00
"Clean Earth","GG Games",37020.00
"Clean Earth","La Trattoria",67620.00
"Clean Earth","Rolls Royce",37770.00
"Clean Harbors","Acer",37960.00
"Clean Harbors","Amazon",35990.00
"Clean Harbors","Burger King",38690.00
"Clean Harbors","GG Games",32820.00
"Clean Harbors","La Trattoria",58960.00
"Clean Harbors","Rolls Royce",30690.00
"EcoRecycling","Acer",32230.00
"EcoRecycling","Amazon",61300.00
"EcoRecycling","Burger King",34990.00
"EcoRecycling","GG Games",31170.00
"EcoRecycling","La Trattoria",54060.00
"EcoRecycling","Rolls Royce",21850.00
"GreenStar","Acer",82130.00
"GreenStar","Amazon",71338.00
"GreenStar","Burger King",47410.00
"GreenStar","GG Games",43900.00
"GreenStar","La Trattoria",100051.00
"GreenStar","Rolls Royce",50210.00
"Waste Management","Acer",79340.00
"Waste Management","Amazon",84770.00
"Waste Management","Burger King",51690.00
"Waste Management","GG Games",49820.00
"Waste Management","La Trattoria",69100.00
"Waste Management","Rolls Royce",45190.00
