productor,planta,cantidad
"Acer","Planta A",56740.00
"Acer","Planta B",58470.00
"Acer","Planta C",40020.00
"Acer","Planta D",83340.00
"Acer","Planta E",56510.00
"Amazon","Planta A",51188.00
"Amazon","Planta B",62070.00
"Amazon","Planta C",43810.00
"Amazon","Planta D",85920.00
"Amazon","Planta E",54300.00
"Burger King","Planta A",50470.00
"Burger King","Planta B",47130.00
"Burger King","Planta C",47430.00
"Burger King","Planta D",35160.00
"Burger King","Planta E",32560.00
"GG Games","Planta A",43180.00
"GG Games","Planta B",41750.00
"GG Games","Planta C",39820.00
"GG Games","Planta D",25430.00
"GG Games","Planta E",44550.00
"La Trattoria","Planta A",79401.00
"La Trattoria","Planta B",56600.00
"La Trattoria","Planta C",61030.00
"La Trattoria","Planta D",81290.00
"La Trattoria","Planta E",71470.00
"Rolls Royce","Planta A",31300.00
"Rolls Royce","Planta B",38820.00
"Rolls Royce","Planta C",32190.00
"Rolls Royce","Planta D",41570.00
"Rolls Royce","Planta E",41830.00
