recolector,planta,cantidad
"Clean Earth","Planta A",46510.00
"Clean Earth","Planta B",58030.00
"Clean Earth","Planta C",60080.00
"Clean Earth","Planta D",69990.00
"Clean Earth","Planta E",55080.00
"Clean Harbors","Planta A",48630.00
"Clean Harbors","Planta B",38090.00
"Clean Harbors","Planta C",41730.00
"Clean Harbors","Planta D",50200.00
"Clean Harbors","Planta E",56460.00
"EcoRecycling","Planta A",61500.00
"EcoRecycling","Planta B",52580.00
"EcoRecycling","Planta C",40900.00
"EcoRecycling","Planta D",43190.00
"EcoRecycling","Planta E",37430.00
"GreenStar","Planta A",81929.00
"GreenStar","Planta B",74510.00
"GreenStar","Planta C",67490.00
"GreenStar","Planta D",90790.00
"GreenStar","Planta E",80320.00
"Waste Management","Planta A",73710.00
"Waste Management","Planta B",81630.00
"Waste Management","Planta C",54100.00
"Waste Management","Planta D",98540.00
"Waste Management","Planta E",71930.00
